Stress XX vs Depth
63 2 2
Depth
Stress XX
0 -2.1648e-10
0.002 -1.3993e-10
0.004 -1.17952e-10
0.006 -1.03091e-10
0.008 -7.52113e-11
0.01 -6.06422e-11
0.012 -8.86127e-11
0.014 -5.52154e-11
0.016 -6.93715e-11
0.018 -8.94945e-11
0.02 -4.76904e-11
0.02 -4.76904e-11
0.021 -3.47092e-11
0.022 -1.77106e-12
0.022 -1.77106e-12
0.0226667 -4.69255e-11
0.0233333 -4.56315e-11
0.024 -2.81662e-11
0.0246667 -2.49181e-12
0.0253333 1.94636e-11
0.026 -5.84673e-11
0.0266667 -8.14511e-11
0.0273333 -4.9333e-11
0.028 -2.06116e-11
0.0286667 -5.81141e-11
0.0293333 2.11435e-12
0.03 -1100
0.03 -1100
0.031 -2200
0.032 -2200
0.033 -2200
0.034 -2200
0.035 -2200
0.036 -2200
0.037 -2200
0.038 -2200
0.039 -2200
0.04 -2200
0.041 -2200
0.042 -2200
0.043 -2200
0.044 -2200
0.045 -1100
0.045 -1100
0.047036 2.45546e-11
0.0492244 2.28798e-11
0.0515766 2.08154e-11
0.0541048 1.85522e-11
0.0568223 1.58981e-11
0.0597433 1.33193e-11
0.0628828 1.07743e-11
0.0662574 8.2302e-12
0.0698845 5.77088e-12
0.0737831 3.42602e-12
0.0779736 1.41468e-12
0.0824777 -4.48013e-13
0.0873189 -1.91423e-12
0.0925226 -3.18614e-12
0.0981157 -4.16474e-12
0.104127 -4.83697e-12
0.110589 -5.37412e-12
0.117535 -5.68515e-12
0.125 -5.78591e-12
