dydx 1 vs gate bias
40 2 2
gate bias
dydx 1
0 4.9572e-10
0.1 -4.95631e-10
0.2 -1.15677e-08
0.3 -1.5483e-08
0.4 1.27988e-08
0.5 3.06168e-08
0.6 3.8459e-07
0.7 6.06982e-06
0.8 9.07808e-05
0.9 0.000919985
1 0.00361774
1.1 0.0102196
1.2 0.022637
1.4 0.0331413
1.6 0.0454202
1.8 0.0556209
2 0.063972
2.2 0.0709861
2.4 0.0769782
2.6 0.0844123
2.8 0.0922778
3 0.0960195
3.2 0.0950165
3.25 0.0839368
3.3 0.0705592
3.4 0.0633273
3.5 0.0602113
3.6 0.0610117
3.8 0.0622178
4 0.0637683
4.2 0.0666078
4.4 0.0708854
4.6 0.0717016
4.8 0.0669062
5 0.0608796
5.2 0.0544961
5.4 0.0457586
5.6 0.0355543
5.8 0.0261692
6 0.0219915
