Hole Conc vs Depth
363 2 2
Depth
Hole Conc
0 2.0326e+18
0.0499133 2.03268e+18
0.0751221 2.03277e+18
0.0878538 2.03727e+18
0.0942839 2.12695e+18
0.0975315 2.6939e+18
0.0991716 4.21521e+18
0.1 2.48171e+18
0.1 2.48171e+18
0.10089 2.50306e+18
0.102066 2.51804e+18
0.103617 2.52664e+18
0.105665 2.53046e+18
0.108369 2.5317e+18
0.111937 2.53199e+18
0.116648 2.53203e+18
0.122865 2.53205e+18
0.131072 2.53207e+18
0.141906 2.53209e+18
0.156206 2.53212e+18
0.175083 2.53215e+18
0.2 2.5322e+18
0.224917 2.53226e+18
0.243794 2.5323e+18
0.258094 2.53233e+18
0.268928 2.53236e+18
0.277135 2.5324e+18
0.283352 2.53264e+18
0.288063 2.53519e+18
0.291631 2.55302e+18
0.294335 2.63516e+18
0.296383 2.90615e+18
0.297934 3.61781e+18
0.29911 5.27119e+18
0.3 2.88241e+18
0.3 2.88241e+18
0.30108 2.9485e+18
0.302402 2.98531e+18
0.304023 3.00245e+18
0.306008 3.00892e+18
0.308439 3.01086e+18
0.311418 3.01131e+18
0.315066 3.0114e+18
0.319536 3.01142e+18
0.325011 3.01145e+18
0.331718 3.01147e+18
0.339935 3.0115e+18
0.35 3.01154e+18
0.360005 3.01158e+18
0.36809 3.01161e+18
0.374624 3.01164e+18
0.379903 3.01164e+18
0.384169 3.01148e+18
0.387617 3.01019e+18
0.390403 3.00316e+18
0.392654 2.97535e+18
0.394473 2.89253e+18
0.395943 2.7026e+18
0.397131 2.36253e+18
0.398091 1.88247e+18
0.398867 1.34166e+18
0.399493 8.46389e+17
0.4 4.62727e+18
0.4 4.62727e+18
0.4005 4.85895e+18
0.401 5.17152e+18
0.4015 5.62097e+18
0.402 6.30078e+18
0.4025 7.37954e+18
0.403 9.18473e+18
0.403 9.18473e+18
0.4035 8.97504e+17
0.404 7.41818e+17
0.4045 6.21474e+17
0.405 5.26528e+17
0.4055 4.50292e+17
0.406 3.88135e+17
0.4065 3.36775e+17
0.407 2.9383e+17
0.4075 2.57543e+17
0.408 2.26591e+17
0.4085 1.99967e+17
0.409 1.76891e+17
0.4095 1.56754e+17
0.41 1.54184e+18
0.41 1.54184e+18
0.4105 2.24489e+18
0.411 3.01105e+18
0.4115 3.84818e+18
0.412 4.82295e+18
0.4125 6.086e+18
0.413 7.93609e+18
0.413 7.93609e+18
0.4135 7.55859e+17
0.414 6.3493e+17
0.4145 5.39618e+17
0.415 4.63161e+17
0.4155 4.00882e+17
0.416 3.49464e+17
0.4165 3.06506e+17
0.417 2.70234e+17
0.4175 2.39315e+17
0.418 2.12733e+17
0.4185 1.89702e+17
0.419 1.69609e+17
0.4195 1.51966e+17
0.42 1.50975e+18
0.42 1.50975e+18
0.4205 2.20999e+18
0.421 2.97478e+18
0.4215 3.80974e+18
0.422 4.77883e+18
0.4225 6.02872e+18
0.423 7.85085e+18
0.423 7.85085e+18
0.4235 7.42289e+17
0.424 6.21044e+17
0.4245 5.25651e+17
0.425 4.49276e+17
0.4255 3.87197e+17
0.426 3.36066e+17
0.4265 2.9346e+17
0.427 2.57591e+17
0.4275 2.27115e+17
0.428 2.01007e+17
0.4285 1.78476e+17
0.429 1.58903e+17
0.4295 1.41796e+17
0.43 1.40502e+18
0.43 1.40502e+18
0.4305 2.02492e+18
0.431 2.65489e+18
0.4315 3.26829e+18
0.432 3.8733e+18
0.4325 4.51137e+18
0.433 5.26058e+18
0.433 5.26058e+18
0.433503 3.61302e+17
0.434011 2.46501e+17
0.434524 1.74152e+17
0.435042 1.27093e+17
0.435566 9.55728e+16
0.436095 7.38734e+16
0.436629 5.85499e+16
0.437169 4.74712e+16
0.437714 3.92865e+16
0.438265 3.31192e+16
0.438821 2.83877e+16
0.439384 2.46981e+16
0.439952 2.17782e+16
0.440525 1.94362e+16
0.441105 1.75348e+16
0.44169 1.59739e+16
0.442282 1.46795e+16
0.442879 1.3596e+16
0.443483 1.26814e+16
0.444093 1.19031e+16
0.444708 1.12357e+16
0.445331 1.06593e+16
0.445959 1.01582e+16
0.446594 9.71963e+15
0.447236 9.33327e+15
0.447884 8.99076e+15
0.448538 8.68522e+15
0.4492 8.41095e+15
0.449868 8.16321e+15
0.450543 7.93803e+15
0.451225 7.73208e+15
0.451913 7.54255e+15
0.452609 7.36706e+15
0.453312 7.20357e+15
0.454022 7.05036e+15
0.454739 6.90595e+15
0.455464 6.76907e+15
0.456196 6.63864e+15
0.456935 6.51373e+15
0.457682 6.39353e+15
0.458437 6.27736e+15
0.459199 6.16462e+15
0.459969 6.0548e+15
0.460747 5.94747e+15
0.461533 5.84225e+15
0.462327 5.73882e+15
0.463129 5.63689e+15
0.463939 5.53623e+15
0.464758 5.43663e+15
0.465585 5.33792e+15
0.46642 5.23995e+15
0.467264 5.1426e+15
0.468116 5.04575e+15
0.468977 4.94931e+15
0.469847 4.8532e+15
0.470726 4.75735e+15
0.471614 4.66171e+15
0.47251 4.56623e+15
0.473416 4.47087e+15
0.474331 4.37559e+15
0.475256 4.28035e+15
0.47619 4.18514e+15
0.477133 4.08993e+15
0.478087 3.99471e+15
0.479049 3.89944e+15
0.480022 3.80413e+15
0.481005 3.70875e+15
0.481997 3.61329e+15
0.483 3.51775e+15
