Electron Conc vs Depth
363 2 2
Depth
Electron Conc
0 2.93592e-39
0.0499133 3.75489e+16
0.0751221 4.44972e+16
0.0878538 4.68536e+16
0.0942839 4.62288e+16
0.0975315 3.73186e+16
0.0991716 2.36651e+16
0.1 9.29585e+14
0.1 9.29585e+14
0.10089 2.53208e+15
0.102066 4.54548e+15
0.103617 7.03689e+15
0.105665 1.00581e+16
0.108369 1.36263e+16
0.111937 1.76983e+16
0.116648 2.21462e+16
0.122865 2.6744e+16
0.131072 3.11887e+16
0.141906 3.51729e+16
0.156206 3.85073e+16
0.175083 4.12423e+16
0.2 4.37106e+16
0.224917 4.58813e+16
0.243794 4.75881e+16
0.258094 4.89376e+16
0.268928 4.99982e+16
0.277135 5.08255e+16
0.283352 5.14641e+16
0.288063 5.19228e+16
0.291631 5.2021e+16
0.294335 5.09423e+16
0.296383 4.68881e+16
0.297934 3.83259e+16
0.29911 2.65855e+16
0.3 1.07662e+15
0.3 1.07662e+15
0.30108 3.35944e+15
0.302402 6.04488e+15
0.304023 9.19885e+15
0.306008 1.28612e+16
0.308439 1.70451e+16
0.311418 2.17383e+16
0.315066 2.68996e+16
0.319536 3.2453e+16
0.325011 3.82849e+16
0.331718 4.42518e+16
0.339935 5.02026e+16
0.35 5.60187e+16
0.360005 6.07078e+16
0.36809 6.39692e+16
0.374624 6.6367e+16
0.379903 6.81927e+16
0.384169 6.96148e+16
0.387617 7.07468e+16
0.390403 7.1704e+16
0.392654 7.26946e+16
0.394473 7.41565e+16
0.395943 7.68816e+16
0.397131 8.2063e+16
0.398091 9.13025e+16
0.398867 1.06697e+17
0.399493 1.31074e+17
0.4 1.75678e+19
0.4 1.75678e+19
0.4005 1.63771e+19
0.401 1.56006e+19
0.4015 1.50162e+19
0.402 1.44593e+19
0.4025 1.37765e+19
0.403 1.27849e+19
0.403 1.27849e+19
0.4035 8.31644e+16
0.404 1.04296e+17
0.4045 1.25258e+17
0.405 1.45314e+17
0.4055 1.63856e+17
0.406 1.80415e+17
0.4065 1.94653e+17
0.407 2.06352e+17
0.4075 2.15392e+17
0.408 2.21738e+17
