luminescent power vs anode current
41 2 2
anode current
luminescent power
-1.25902e-14 -8.04855e-24
-1.25902e-14 -4.52471e-25
3.93598e-14 5.20383e-23
2.90065e-13 4.14701e-22
7.19111e-13 2.92006e-21
2.02153e-12 2.0227e-20
5.67771e-12 1.39778e-19
1.57044e-11 9.65552e-19
4.35036e-11 6.66914e-18
1.20481e-10 4.60614e-17
3.34978e-10 3.1811e-16
9.34756e-10 2.19679e-15
2.61993e-09 1.51694e-14
7.38096e-09 1.0474e-13
2.09211e-08 7.23132e-13
5.97374e-08 4.99203e-12
1.72116e-07 3.44576e-11
5.01511e-07 2.3781e-10
1.48225e-06 1.64099e-09
4.46045e-06 1.13207e-08
1.37191e-05 7.80726e-08
4.31727e-05 5.38315e-07
0.000137669 3.7095e-06
0.000431733 2.54352e-05
0.00129581 0.000173908
0.00389543 0.00116315
0.0127345 0.00733421
0.0454736 0.0405609
0.159134 0.178366
0.475747 0.585017
1.14859 1.44848
2.28639 2.86877
3.92077 4.82988
6.02796 7.24576
8.56836 10.0103
11.5265 13.0237
14.9533 16.2012
19.0096 19.4726
23.985 22.7799
30.2467 26.077
38.1122 29.3314
