(Probe Radiative)/(Probe Recombination) vs anode current
102 2 2
anode current
(Probe Radiative)/(Probe Recombination)
2.03283e-15 1.92388e-08
1.11686e-14 2.58684e-08
1.21438e-14 3.51978e-08
5.21211e-14 4.85225e-08
2.83509e-14 6.75869e-08
5.01599e-14 9.48534e-08
6.58765e-14 1.33816e-07
1.10833e-13 1.8943e-07
1.68931e-13 2.68726e-07
2.65864e-13 3.81658e-07
3.81592e-13 5.42318e-07
5.84501e-13 7.70627e-07
9.02214e-13 1.09472e-06
1.36735e-12 1.5543e-06
2.09274e-12 2.20534e-06
3.1947e-12 3.12669e-06
4.88339e-12 4.42935e-06
7.48632e-12 6.26947e-06
1.14532e-11 8.86658e-06
1.75772e-11 1.25293e-05
2.69525e-11 1.7691e-05
4.13964e-11 2.49609e-05
6.36149e-11 3.51945e-05
9.78049e-11 4.95937e-05
1.50438e-10 6.98478e-05
2.31569e-10 9.8332e-05
3.56442e-10 0.000138388
5.48862e-10 0.000194719
8.45191e-10 0.000273954
1.30142e-09 0.000385445
2.00359e-09 0.000542396
3.08368e-09 0.000763473
4.74452e-09 0.00107509
7.29444e-09 0.00151469
1.1209e-08 0.00213532
1.72125e-08 0.00301227
2.64127e-08 0.0042523
4.05033e-08 0.00600675
6.20751e-08 0.0084898
9.50988e-08 0.0120037
1.45677e-07 0.0169735
2.23223e-07 0.0239931
3.42335e-07 0.0338869
5.25789e-07 0.0477888
8.09373e-07 0.0672424
1.24973e-06 0.0943261
1.93716e-06 0.13181
3.01639e-06 0.18336
4.72032e-06 0.253817
7.42386e-06 0.349616
1.17297e-05 0.479419
1.8602e-05 0.655065
2.95761e-05 0.892968
4.70786e-05 1.21621
7.48929e-05 1.65812
0.000118778 2.26868
0.000187278 3.12451
0.000293031 4.34031
0.000455088 6.08111
0.000703071 8.57308
0.00108718 12.0725
0.00169889 16.7595
0.00269672 22.6675
0.00433348 29.7286
0.00701616 37.7546
0.0114408 46.2787
0.0187863 54.5923
0.0308697 62.0289
0.0501521 68.1881
0.0795786 72.9786
0.122199 76.5161
0.18156 79.0382
0.260322 80.7457
0.358733 81.8174
0.478623 82.4367
0.617619 82.7226
0.776636 82.7765
0.951813 82.6676
1.14213 82.4477
1.34784 82.1496
1.56419 81.8037
1.79052 81.4276
2.02561 81.0345
2.27005 80.6315
2.52033 80.2311
2.77752 79.837
3.0426 79.4529
3.31881 79.0807
3.60651 78.7253
3.91044 78.3872
4.23782 78.0684
4.59155 77.7699
4.98218 77.494
5.41247 77.2403
5.89499 77.0126
6.43489 76.8117
7.03712 76.639
7.70487 76.4959
8.16249 76.4868
8.45363 76.3915
8.94369 76.3988
9.25335 76.3128
