Probe Peak Energy vs anode current
102 2 2
anode current
Probe Peak Energy
2.03283e-15 871.716
1.11686e-14 871.716
1.21438e-14 871.716
5.21211e-14 871.716
2.83509e-14 871.716
5.01599e-14 871.716
6.58765e-14 871.716
1.10833e-13 871.716
1.68931e-13 871.716
2.65864e-13 871.716
3.81592e-13 871.716
5.84501e-13 871.716
9.02214e-13 871.716
1.36735e-12 871.716
2.09274e-12 871.716
3.1947e-12 871.716
4.88339e-12 871.716
7.48632e-12 871.716
1.14532e-11 871.716
1.75772e-11 871.716
2.69525e-11 871.716
4.13964e-11 871.716
6.36149e-11 871.716
9.78049e-11 871.716
1.50438e-10 871.716
2.31569e-10 871.716
3.56442e-10 871.716
5.48862e-10 871.716
8.45191e-10 871.716
1.30142e-09 871.716
2.00359e-09 871.716
3.08368e-09 871.716
4.74452e-09 871.716
7.29444e-09 871.716
1.1209e-08 871.716
1.72125e-08 871.716
2.64127e-08 871.716
4.05033e-08 871.716
6.20751e-08 871.716
9.50988e-08 871.716
1.45677e-07 871.716
2.23223e-07 871.716
3.42335e-07 871.716
5.25789e-07 871.716
8.09373e-07 871.716
1.24973e-06 871.716
1.93716e-06 871.716
3.01639e-06 871.716
4.72032e-06 871.716
7.42386e-06 871.716
1.17297e-05 871.716
1.8602e-05 871.716
2.95761e-05 871.716
4.70786e-05 871.716
7.48929e-05 871.716
0.000118778 871.716
0.000187278 871.716
0.000293031 871.716
0.000455088 871.716
0.000703071 871.716
0.00108718 871.716
0.00169889 871.717
0.00269672 871.717
0.00433348 871.718
0.00701616 871.725
0.0114408 871.72
0.0187863 871.726
0.0308697 871.738
0.0501521 871.759
0.0795786 871.796
0.122199 871.857
0.18156 872.026
0.260322 872.319
0.358733 872.663
0.478623 873.155
0.617619 873.698
0.776636 874.394
0.951813 875.141
1.14213 875.975
1.34784 876.977
1.56419 878.03
1.79052 879.17
2.02561 880.403
2.27005 881.808
2.52033 883.247
2.77752 884.763
3.0426 886.362
3.31881 888.132
3.60651 889.92
3.91044 891.783
4.23782 893.828
4.59155 895.896
4.98218 898.157
5.41247 900.462
5.89499 903.001
6.43489 905.737
7.03712 908.695
7.70487 911.902
8.16249 915.296
8.45363 915.647
8.94369 919.123
9.25335 919.515
