anode current vs anode bias
201 2 2
anode bias
anode current
0 -1.25741e-24
0.05 -7.64751e-13
0.1 -8.64313e-18
0.15 6.39709e-18
0.2 7.24034e-19
0.25 1.16943e-18
0.3 1.88265e-18
0.35 3.01877e-18
0.4 4.81998e-18
0.45 7.66044e-18
0.5 1.21138e-17
0.55 1.90513e-17
0.6 2.97828e-17
0.65 4.62549e-17
0.7 7.13245e-17
0.75 1.09127e-16
0.8 1.65567e-16
0.85 2.48951e-16
0.9 3.70834e-16
0.95 5.47163e-16
1 8.00017e-16
1.05 1.16063e-15
1.1 1.67594e-15
1.15 2.42712e-15
1.2 3.59777e-15
1.25 5.77492e-15
1.3 1.13886e-14
1.35 3.17161e-14
1.4 1.20357e-13
1.45 5.26282e-13
1.5 2.33788e-12
1.55 9.76539e-12
1.6 3.52403e-11
1.65 9.58593e-11
1.7 1.5258e-10
1.75 2.48849e-10
1.8 6.90788e-10
1.85 1.45761e-09
1.9 3.46211e-09
1.95 7.14109e-09
2 9.29032e-09
2.05 1.68711e-08
2.1 2.87815e-08
2.15 4.59828e-08
2.2 7.05217e-08
2.25 1.04539e-07
2.3 1.50753e-07
2.35 2.1244e-07
2.4 2.93541e-07
2.45 3.98766e-07
2.5 5.33716e-07
2.55 7.05013e-07
2.6 9.20457e-07
2.65 1.18919e-06
2.7 1.52186e-06
2.75 1.93089e-06
2.8 2.43065e-06
2.85 3.03772e-06
2.9 3.77123e-06
2.95 4.65311e-06
3 5.70849e-06
3.05 6.96607e-06
3.1 8.45854e-06
3.15 1.02231e-05
3.2 1.23019e-05
3.25 1.47426e-05
3.3 1.75993e-05
3.35 2.09328e-05
3.4 2.48115e-05
3.45 2.93125e-05
3.5 3.45222e-05
3.55 4.05374e-05
3.6 4.74663e-05
3.65 5.54301e-05
3.7 6.45638e-05
3.75 7.50176e-05
3.8 8.69592e-05
3.85 0.000100574
3.9 0.00011607
3.95 0.000133675
4 0.000153643
4.05 0.000176255
4.1 0.00020182
4.15 0.000230683
4.2 0.00026322
4.25 0.000299849
4.3 0.000341027
4.35 0.00038726
4.4 0.000439103
4.45 0.000497164
4.5 0.000562112
4.55 0.00063468
4.6 0.000715671
4.65 0.000805962
4.7 0.000906522
4.75 0.00101839
4.8 0.00114273
4.85 0.00128079
4.9 0.00143393
4.95 0.00160366
5 0.00179158
5.05 0.00199948
5.1 0.00222928
5.15 0.00248308
5.2 0.00276315
5.25 0.00307196
5.3 0.0034122
5.35 0.00378678
5.4 0.00419886
5.45 0.00465188
5.5 0.00514953
5.55 0.00569584
5.6 0.00629516
5.65 0.00695219
5.7 0.00767201
5.75 0.00846013
5.8 0.00932249
5.85 0.0102655
5.9 0.0112961
5.95 0.0124217
6 0.0136504
6.05 0.0149908
6.1 0.0164524
6.15 0.0180452
6.2 0.01978
6.25 0.0216685
6.3 0.0237233
6.35 0.0259578
6.4 0.0283866
6.45 0.0310252
6.5 0.0338904
6.55 0.0370002
6.6 0.0403739
6.65 0.0440322
6.7 0.0479973
6.75 0.0522931
6.8 0.056945
6.85 0.0619804
6.9 0.0674286
6.95 0.0733211
7 0.0796914
7.05 0.0865754
7.1 0.0940118
7.15 0.102041
7.2 0.110709
7.25 0.12006
7.3 0.130146
7.35 0.141021
7.4 0.152741
7.45 0.165369
7.5 0.178968
7.55 0.19361
7.6 0.209368
7.65 0.226322
7.7 0.244557
7.75 0.264162
7.8 0.285234
7.85 0.307875
7.9 0.332195
7.95 0.358309
8 0.386341
8.05 0.416424
8.1 0.448696
8.15 0.483308
8.2 0.520417
8.25 0.560193
8.3 0.602815
8.35 0.648473
8.4 0.69737
8.45 0.749722
8.5 0.805756
8.55 0.865716
8.6 0.92986
8.65 0.998461
8.7 1.07181
8.75 1.15021
8.8 1.234
8.85 1.32352
8.9 1.41914
8.95 1.52124
9 1.63025
9.05 1.74659
9.1 1.87074
9.15 2.00319
9.2 2.14446
9.25 2.29509
9.3 2.45568
9.35 2.62685
9.4 2.80924
9.45 3.00356
9.5 3.21053
9.55 3.43093
9.6 3.66559
9.65 3.91537
9.7 4.18119
9.75 4.46403
9.8 4.7649
9.85 5.08489
9.9 5.42515
9.95 5.78689
10 6.17139
