anode current vs Probe Electric Field
201 2 2
Probe Electric Field
anode current
3.80283e+07 -1.25741e-24
3.69772e+07 -7.64751e-13
3.59264e+07 -8.64313e-18
3.48761e+07 6.39709e-18
3.38263e+07 7.24034e-19
3.27772e+07 1.16943e-18
3.1729e+07 1.88265e-18
3.06818e+07 3.01877e-18
2.96358e+07 4.81998e-18
2.85915e+07 7.66044e-18
2.75491e+07 1.21138e-17
2.65092e+07 1.90513e-17
2.54722e+07 2.97828e-17
2.44389e+07 4.62549e-17
2.341e+07 7.13245e-17
2.23867e+07 1.09127e-16
2.137e+07 1.65567e-16
2.03615e+07 2.48951e-16
1.93628e+07 3.70834e-16
1.83761e+07 5.47163e-16
1.74035e+07 8.00017e-16
1.6448e+07 1.16063e-15
1.55126e+07 1.67594e-15
1.4601e+07 2.42712e-15
1.37172e+07 3.59777e-15
1.28656e+07 5.77492e-15
1.20513e+07 1.13886e-14
1.12799e+07 3.17161e-14
1.05576e+07 1.20357e-13
9.89081e+06 5.26282e-13
9.28663e+06 2.33788e-12
8.75084e+06 9.76539e-12
8.28381e+06 3.52403e-11
7.87585e+06 9.58593e-11
7.53612e+06 1.5258e-10
7.16201e+06 2.48849e-10
6.4771e+06 6.90788e-10
5.41334e+06 1.45761e-09
4.50243e+06 3.46211e-09
4.49198e+06 7.14109e-09
4.99301e+06 9.29032e-09
6.15589e+06 1.68711e-08
7.35753e+06 2.87815e-08
8.53867e+06 4.59828e-08
9.73299e+06 7.05217e-08
1.09427e+07 1.04539e-07
1.21513e+07 1.50753e-07
1.33562e+07 2.1244e-07
1.45577e+07 2.93541e-07
1.5756e+07 3.98766e-07
1.69512e+07 5.33716e-07
1.81434e+07 7.05013e-07
1.93328e+07 9.20457e-07
2.05194e+07 1.18919e-06
2.17034e+07 1.52186e-06
2.28848e+07 1.93089e-06
2.40636e+07 2.43065e-06
2.52401e+07 3.03772e-06
2.64142e+07 3.77123e-06
2.7586e+07 4.65311e-06
2.87556e+07 5.70849e-06
2.9923e+07 6.96607e-06
3.10883e+07 8.45854e-06
3.22517e+07 1.02231e-05
3.3413e+07 1.23019e-05
3.45725e+07 1.47426e-05
3.57301e+07 1.75993e-05
3.68859e+07 2.09328e-05
3.804e+07 2.48115e-05
3.91924e+07 2.93125e-05
4.03431e+07 3.45222e-05
4.14923e+07 4.05374e-05
4.26399e+07 4.74663e-05
4.3786e+07 5.54301e-05
4.49307e+07 6.45638e-05
4.60739e+07 7.50176e-05
4.72158e+07 8.69592e-05
4.83564e+07 0.000100574
4.94957e+07 0.00011607
5.06337e+07 0.000133675
5.17705e+07 0.000153643
5.29061e+07 0.000176255
5.40406e+07 0.00020182
5.5174e+07 0.000230683
5.63063e+07 0.00026322
5.74375e+07 0.000299849
5.85677e+07 0.000341027
5.9697e+07 0.00038726
6.08252e+07 0.000439103
6.19525e+07 0.000497164
6.30789e+07 0.000562112
6.42044e+07 0.00063468
6.5329e+07 0.000715671
6.64528e+07 0.000805962
6.75757e+07 0.000906522
6.86978e+07 0.00101839
6.98192e+07 0.00114273
7.09398e+07 0.00128079
7.20596e+07 0.00143393
7.31787e+07 0.00160366
7.42971e+07 0.00179158
7.54147e+07 0.00199948
7.65317e+07 0.00222928
7.7648e+07 0.00248308
7.87637e+07 0.00276315
7.98787e+07 0.00307196
8.09931e+07 0.0034122
8.21069e+07 0.00378678
8.32201e+07 0.00419886
8.43327e+07 0.00465188
8.54447e+07 0.00514953
8.65562e+07 0.00569584
8.76671e+07 0.00629516
8.87775e+07 0.00695219
8.98873e+07 0.00767201
9.09967e+07 0.00846013
9.21055e+07 0.00932249
9.32138e+07 0.0102655
9.43216e+07 0.0112961
9.5429e+07 0.0124217
9.65358e+07 0.0136504
9.76423e+07 0.0149908
9.87482e+07 0.0164524
9.98537e+07 0.0180452
1.00959e+08 0.01978
1.02063e+08 0.0216685
1.03168e+08 0.0237233
1.04271e+08 0.0259578
1.05375e+08 0.0283866
1.06478e+08 0.0310252
1.0758e+08 0.0338904
1.08683e+08 0.0370002
1.09785e+08 0.0403739
1.10886e+08 0.0440322
1.11987e+08 0.0479973
1.13088e+08 0.0522931
1.14188e+08 0.056945
1.15288e+08 0.0619804
1.16388e+08 0.0674286
1.17487e+08 0.0733211
1.18586e+08 0.0796914
1.19685e+08 0.0865754
1.20783e+08 0.0940118
1.21881e+08 0.102041
1.22979e+08 0.110709
1.24076e+08 0.12006
1.25173e+08 0.130146
1.2627e+08 0.141021
1.27367e+08 0.152741
1.28463e+08 0.165369
1.29559e+08 0.178968
1.30655e+08 0.19361
1.3175e+08 0.209368
1.32845e+08 0.226322
1.3394e+08 0.244557
1.35034e+08 0.264162
1.36129e+08 0.285234
1.37223e+08 0.307875
1.38316e+08 0.332195
1.3941e+08 0.358309
1.40503e+08 0.386341
1.41596e+08 0.416424
1.42689e+08 0.448696
1.43781e+08 0.483308
1.44874e+08 0.520417
1.45966e+08 0.560193
1.47057e+08 0.602815
1.48149e+08 0.648473
1.4924e+08 0.69737
1.50331e+08 0.749722
1.51422e+08 0.805756
1.52513e+08 0.865716
1.53604e+08 0.92986
1.54694e+08 0.998461
1.55784e+08 1.07181
1.56874e+08 1.15021
1.57963e+08 1.234
1.59053e+08 1.32352
1.60142e+08 1.41914
1.61231e+08 1.52124
1.6232e+08 1.63025
1.63409e+08 1.74659
1.64497e+08 1.87074
1.65585e+08 2.00319
1.66673e+08 2.14446
1.67761e+08 2.29509
1.68849e+08 2.45568
1.69937e+08 2.62685
1.71024e+08 2.80924
1.72111e+08 3.00356
1.73198e+08 3.21053
1.74285e+08 3.43093
1.75372e+08 3.66559
1.76458e+08 3.91537
1.77544e+08 4.18119
1.78631e+08 4.46403
1.79717e+08 4.7649
1.80802e+08 5.08489
1.81888e+08 5.42515
1.82974e+08 5.78689
1.84059e+08 6.17139
