Ga2O3 MOSFET VD=+25V
19 2 2
Gate Voltage
Drain Current
-24.8866573872  1.85571094829e-12
-20.120302247  1.85571094829e-12
-15.9146947703  1.85571094829e-12
-14.791495043  2.90822714651e-12
-14.2290429793  4.55770611448e-12
-14.0392864245  9.63702475699e-12
-13.7546515922  2.96304303828e-11
-13.1828253274  5.49547100328e-10
-12.6987756725  4.55685484817e-08
-12.2204073516  8.45146808898e-07
-10.9892622788  6.03327469229e-05
-10.2367695935  0.000215470299505
-8.0 0.002449
-6.0 0.006918
-4.0 0.01272
-2.0 0.01946
0.0 0.02636
2.0 0.03263
4.0 0.03874
