v ATLAS
# This file was created by ATLAS version 5.26.1.R on Wed Apr 18 00:00:21 2018.
#SSF 2.0 generic
##############################################################################
#                    Copyright (c) 1984 - 2018                               #
#                    Silvaco Inc. All rights reserved                        #
#                                                                            #
# This file format and the following Key are copyright Silvaco Inc.          #
# You may not use, this format or key without reproducing this message in    #
# full and obtaining express written permission from Silvaco Inc.            #
#                                                                            #
# To obtain such permission please contact: Silvaco Inc.                     #
#                                           support@silvaco.com              #
#                                                                            #
# KEY=SVC86hn7562asdx                       PROD=345                         #
##############################################################################
# Electrode #0 = 0 (V) 
# Electrode #1 = 0 (V) 
# Electrode #2 = 0 (V) 
# Electrode #3 = 0 (V) 
o 1 Energy (eV) 
o 2 Transmission  (electrons)  
o 3 DOS(1/eV cm)  (electrons)  x=0 
o 4 DOS(1/eV cm)  (electrons)  x=0.035 
o 5 J(A/eV)  (electrons)  x=0.01 
p 5 3000  3001  3002  3003  3004 
d  -0.177252501   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.168169954   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.156059892   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.146423379   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.139195659   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.134867284   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.131780095   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.128812254   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.126356875   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.124654575   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.122757223   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.121408356   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.119860057   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.118806057   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.117501855   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.116595886   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.115460103   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.114401496   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.113648954   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.112695947   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.111791115   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.110930065   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.110313026   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.109520066   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.108761146   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.108033673   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.107507406   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.106828802   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.106175605   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.105546845   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.104946724   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.104511026   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.103945713   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.103406818   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.102891304   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.102392528   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.10191921   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.101564615   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.101142117   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.100732694   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.100336612   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0999564236   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0995810949   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.099163832   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0987327899   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0983701653   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0978770006   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0973428362   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0967702235   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0961630203   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0955166297   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0950060664   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0942803567   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0935079413   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0926848782   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0920282696   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0911038823   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0901121439   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0893247464   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0882118053   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0870086705   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0860497872   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0846957702   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.083399522   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0824475229   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.081271071   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0803720065   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0794027416   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0784476891   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0775700608   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0769581139   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0761955205   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0754740493   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.074793243   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0743065039   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0736836605   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.073089651   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0725286763   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0719885724   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.071466208   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0710926767   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0706059069   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0701352839   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0696852222   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0692427111   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0688212986   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0684069539   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0681074989   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0677119178   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0673333474   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0669583486   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0665991854   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0662415175   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0659005965   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0655596755   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0652344294   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0649908818   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0646718005   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0643643495   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0640568985   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0637622664   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0634702678   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0631818655   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0629046063   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0626273471   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.062357449   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.062160102   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0618969728   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0616393162   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0613898107   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0611403052   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0608957683   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0606594855   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.0604232027   1e-14   4e-15   4e-15   2.43413403e-26  
d  -0.060189254   1e-14   4e-15   4e-15   2.43413403e-26  
