drain current vs drain bias
43 2 2
drain bias
drain current
0.1025 2.77215e-05
0.105 2.83651e-05
0.1075 2.90072e-05
0.11 2.96477e-05
0.2 5.16794e-05
0.3 7.38254e-05
0.4 9.35366e-05
0.5 0.00011085
0.6 0.000125817
0.7 0.000138507
0.8 0.000149012
0.9 0.000157458
1 0.000164015
1.1 0.000168903
1.2 0.000172414
1.3 0.000174891
1.4 0.000176677
1.5 0.000178043
1.6 0.000179163
1.7 0.000180136
1.8 0.000181016
1.9 0.000181832
2 0.000182604
2.1 0.000183347
2.2 0.000184075
2.3 0.000184805
2.4 0.000185558
2.5 0.00018636
2.6 0.000187237
2.7 0.000188221
2.8 0.000189343
2.9 0.000190631
3 0.000192113
3.1 0.000193814
3.2 0.000195754
3.3 0.000197952
3.4 0.00020043
3.5 0.00020321
3.6 0.000206321
3.7 0.000209799
3.8 0.000213697
3.9 0.000218079
4 0.000223027
