(anode bias)*(cathode current) vs anode bias
49 2 2
anode bias
(anode bias)*(cathode current)
0 0
0.025 1.41222e-12
0.05 2.82248e-12
0.075 4.23075e-12
0.1 5.63702e-12
0.125 7.04124e-12
0.15 8.44338e-12
0.175 9.84342e-12
0.2 1.12413e-11
0.225 1.2637e-11
0.25 1.40305e-11
0.275 1.54218e-11
0.3 1.68107e-11
0.325 1.81973e-11
0.35 1.95815e-11
0.375 2.09633e-11
0.4 2.23425e-11
0.425 2.37192e-11
0.45 2.50933e-11
0.475 2.64646e-11
0.5 2.78332e-11
0.525 2.91989e-11
0.55 3.05617e-11
0.575 3.19214e-11
0.6 3.32779e-11
0.625 3.46311e-11
0.65 3.5981e-11
0.675 3.73272e-11
0.7 3.86698e-11
0.725 4.00083e-11
0.75 4.13427e-11
0.775 4.26727e-11
0.8 4.39977e-11
0.825 4.53173e-11
0.85 4.66305e-11
0.875 4.7936e-11
0.9 4.92315e-11
0.925 5.05129e-11
0.95 5.17732e-11
0.975 5.29985e-11
1 5.41617e-11
1.025 5.52063e-11
1.05 5.60084e-11
1.075 5.62856e-11
1.1 5.53681e-11
1.125 5.16196e-11
1.15 4.09486e-11
1.175 1.2949e-11
1.2 -5.91571e-11
