EXPORTED XY-GRAPH DATA
56 2 2
optical wavelength
quantum efficiency
3.125e-01 9.415e-03
3.374e-01 3.302e-02
3.543e-01 7.580e-02
3.650e-01 1.258e-01
3.717e-01 1.902e-01
3.785e-01 2.617e-01
3.896e-01 3.594e-01
4.025e-01 4.261e-01
4.151e-01 4.594e-01
4.217e-01 5.023e-01
4.301e-01 5.213e-01
4.405e-01 5.307e-01
4.509e-01 5.497e-01
4.594e-01 5.783e-01
4.719e-01 5.925e-01
4.805e-01 6.329e-01
4.931e-01 6.567e-01
5.016e-01 6.900e-01
5.120e-01 7.066e-01
5.204e-01 7.137e-01
5.329e-01 7.302e-01
5.452e-01 7.230e-01
5.514e-01 7.181e-01
5.656e-01 6.893e-01
5.696e-01 6.702e-01
5.839e-01 6.581e-01
5.983e-01 6.508e-01
6.189e-01 6.458e-01
6.353e-01 6.361e-01
6.518e-01 6.311e-01
6.745e-01 6.309e-01
6.972e-01 6.307e-01
7.116e-01 6.257e-01
7.260e-01 6.160e-01
7.423e-01 5.848e-01
7.545e-01 5.608e-01
7.646e-01 5.345e-01
7.830e-01 5.176e-01
8.035e-01 4.983e-01
8.240e-01 4.837e-01
8.404e-01 4.692e-01
8.569e-01 4.571e-01
8.773e-01 4.283e-01
8.956e-01 3.923e-01
9.180e-01 3.610e-01
9.384e-01 3.298e-01
9.567e-01 2.961e-01
9.690e-01 2.769e-01
9.770e-01 2.506e-01
9.972e-01 1.907e-01
1.007e+00 1.476e-01
1.029e+00 5.671e-02
1.049e+00 1.830e-02
1.070e+00 1.379e-03
1.101e+00 1.051e-03
1.138e+00 3.043e-03
