(cathode current)/(source photo current) vs optical wavelength
41 2 2
optical wavelength
(cathode current)/(source photo current)
0.4 0.619957
0.41 0.629501
0.42 0.644035
0.43 0.66723
0.44 0.697183
0.45 0.727734
0.46 0.752592
0.47 0.768263
0.48 0.77606
0.49 0.7823
0.5 0.791402
0.51 0.798142
0.52 0.795994
0.53 0.78407
0.54 0.764903
0.55 0.738902
0.56 0.705132
0.57 0.668941
0.58 0.641469
0.59 0.621605
0.6 0.596018
0.61 0.556539
0.62 0.506911
0.63 0.451497
0.64 0.39361
0.65 0.336352
0.66 0.280787
0.67 0.227215
0.68 0.176711
0.69 0.130741
0.7 0.0916766
0.71 0.0621217
0.72 0.0428648
0.73 0.0315021
0.74 0.0249835
0.75 0.0213276
0.76 0.0194411
0.77 0.0186214
0.78 0.0183497
0.79 0.0183539
0.8 0.0184066
