(anode bias)*(anode current) vs anode bias
74 2 2
anode bias
(anode bias)*(anode current)
0 -0
0.02 -2.04193e-11
0.04 -4.07993e-11
0.06 -6.11391e-11
0.08 -8.14375e-11
0.1 -1.01693e-10
0.12 -1.21905e-10
0.14 -1.42071e-10
0.16 -1.62191e-10
0.18 -1.82262e-10
0.2 -2.02284e-10
0.22 -2.22256e-10
0.24 -2.42175e-10
0.26 -2.6204e-10
0.28 -2.8185e-10
0.3 -3.01603e-10
0.32 -3.21298e-10
0.34 -3.40933e-10
0.36 -3.60505e-10
0.38 -3.80012e-10
0.4 -3.99452e-10
0.42 -4.18822e-10
0.44 -4.38119e-10
0.46 -4.57339e-10
0.48 -4.76478e-10
0.5 -4.95534e-10
0.52 -5.14502e-10
0.54 -5.33378e-10
0.56 -5.52159e-10
0.58 -5.7084e-10
0.6 -5.89418e-10
0.62 -6.07888e-10
0.64 -6.26245e-10
0.66 -6.44485e-10
0.68 -6.62601e-10
0.7 -6.80588e-10
0.72 -6.98436e-10
0.74 -7.16138e-10
0.76 -7.33684e-10
0.78 -7.51062e-10
0.8 -7.68262e-10
0.82 -7.8527e-10
0.84 -8.02074e-10
0.86 -8.18658e-10
0.88 -8.35006e-10
0.9 -8.51096e-10
0.92 -8.66904e-10
0.94 -8.82398e-10
0.96 -8.97538e-10
0.98 -9.12272e-10
1 -9.26532e-10
1.02 -9.40225e-10
1.04 -9.53222e-10
1.06 -9.65335e-10
1.08 -9.76287e-10
1.1 -9.85659e-10
1.12 -9.92829e-10
1.14 -9.96876e-10
1.16 -9.96482e-10
1.18 -9.89826e-10
1.2 -9.74495e-10
1.22 -9.47421e-10
1.24 -9.04786e-10
1.26 -8.4184e-10
1.28 -7.52582e-10
1.3 -6.29277e-10
1.32 -4.61807e-10
1.34 -2.36814e-10
1.36 6.34432e-11
1.38 4.62513e-10
1.4 9.91836e-10
1.42 1.69321e-09
1.44 2.62226e-09
1.46 3.85276e-09
