cathode current vs anode bias
181 2 2
anode bias
cathode current
0 2.61491e-07
0.05 2.61415e-07
0.1 2.61338e-07
0.15 2.6126e-07
0.2 2.61181e-07
0.25 2.61102e-07
0.3 2.61021e-07
0.35 2.60939e-07
0.4 2.60856e-07
0.45 2.60773e-07
0.5 2.60688e-07
0.55 2.60602e-07
0.6 2.60515e-07
0.65 2.60427e-07
0.7 2.60338e-07
0.75 2.60248e-07
0.8 2.60156e-07
0.85 2.60064e-07
0.9 2.5997e-07
0.95 2.59875e-07
1 2.59778e-07
1.05 2.5968e-07
1.1 2.59581e-07
1.15 2.59481e-07
1.2 2.59379e-07
1.25 2.59276e-07
1.3 2.59171e-07
1.35 2.59065e-07
1.4 2.58958e-07
1.45 2.58849e-07
1.5 2.58738e-07
1.55 2.58625e-07
1.6 2.58511e-07
1.65 2.58396e-07
1.7 2.58278e-07
1.75 2.58159e-07
1.8 2.58038e-07
1.85 2.57916e-07
1.9 2.57791e-07
1.95 2.57665e-07
2 2.57537e-07
2.05 2.57407e-07
2.1 2.57275e-07
2.15 2.57141e-07
2.2 2.57005e-07
2.25 2.56867e-07
2.3 2.56727e-07
2.35 2.56585e-07
2.4 2.56442e-07
2.45 2.56296e-07
2.5 2.56148e-07
2.55 2.55997e-07
2.6 2.55845e-07
2.65 2.55691e-07
2.7 2.55534e-07
2.75 2.55375e-07
2.8 2.55214e-07
2.85 2.5505e-07
2.9 2.54884e-07
2.95 2.54716e-07
3 2.54546e-07
3.05 2.54373e-07
3.1 2.54197e-07
3.15 2.54019e-07
3.2 2.53838e-07
3.25 2.53655e-07
3.3 2.53469e-07
3.35 2.5328e-07
3.4 2.53088e-07
3.45 2.52894e-07
3.5 2.52696e-07
3.55 2.52495e-07
3.6 2.52292e-07
3.65 2.52084e-07
3.7 2.51874e-07
3.75 2.5166e-07
3.8 2.51442e-07
3.85 2.51221e-07
3.9 2.50996e-07
3.95 2.50766e-07
4 2.50533e-07
4.05 2.50294e-07
4.1 2.50051e-07
4.15 2.49803e-07
4.2 2.4955e-07
4.25 2.49292e-07
4.3 2.49027e-07
4.35 2.48756e-07
4.4 2.48479e-07
4.45 2.48194e-07
4.5 2.47902e-07
4.55 2.47602e-07
4.6 2.47293e-07
4.65 2.46975e-07
4.7 2.46647e-07
4.75 2.46309e-07
4.8 2.45958e-07
4.85 2.45596e-07
4.9 2.4522e-07
4.95 2.44829e-07
5 2.44422e-07
5.05 2.43997e-07
5.1 2.43553e-07
5.15 2.43087e-07
5.2 2.42598e-07
5.25 2.42082e-07
5.3 2.41537e-07
5.35 2.4096e-07
5.4 2.40346e-07
5.45 2.39691e-07
5.5 2.38991e-07
5.55 2.38241e-07
5.6 2.37434e-07
5.65 2.36565e-07
5.7 2.35627e-07
5.75 2.34611e-07
5.8 2.33512e-07
5.85 2.32319e-07
5.9 2.31022e-07
5.95 2.29613e-07
6 2.2808e-07
6.05 2.26411e-07
6.1 2.24592e-07
6.15 2.2261e-07
6.2 2.2045e-07
6.25 2.18095e-07
6.3 2.15527e-07
6.35 2.12727e-07
6.4 2.09675e-07
6.45 2.06347e-07
6.5 2.02721e-07
6.55 1.98771e-07
6.6 1.94469e-07
6.65 1.89786e-07
6.7 1.84692e-07
6.75 1.79153e-07
6.8 1.73136e-07
6.85 1.66604e-07
6.9 1.59519e-07
6.95 1.51841e-07
7 1.43531e-07
7.05 1.34545e-07
7.1 1.2484e-07
7.15 1.14372e-07
7.2 1.03097e-07
7.25 9.09693e-08
7.3 7.79439e-08
7.35 6.39761e-08
7.4 4.90219e-08
7.45 3.30385e-08
7.5 1.59841e-08
7.55 -2.18119e-09
7.6 -2.14953e-08
7.65 -4.19939e-08
7.7 -6.37101e-08
7.75 -8.66745e-08
7.8 -1.10915e-07
7.85 -1.36455e-07
7.9 -1.63317e-07
7.95 -1.9152e-07
8 -2.21079e-07
8.05 -2.52008e-07
8.1 -2.84315e-07
8.15 -3.18008e-07
8.2 -3.53093e-07
8.25 -3.89572e-07
8.3 -4.27446e-07
8.35 -4.66713e-07
8.4 -5.07373e-07
8.45 -5.4942e-07
8.5 -5.92851e-07
8.55 -6.3766e-07
8.6 -6.83842e-07
8.65 -7.3139e-07
8.7 -7.80297e-07
8.75 -8.30558e-07
8.8 -8.82165e-07
8.85 -9.35111e-07
8.9 -9.89388e-07
8.95 -1.04499e-06
9 -1.1019e-06
