EXPORTED XY-GRAPH DATA
32 2 2
Gate Voltage
Drain Current
-4.825e+00 2.389e-10
-3.918e+00 9.488e-10
-3.013e+00 1.811e-09
-1.926e+00 2.847e-09
-1.020e+00 3.709e-09
-2.980e-01 5.201e-08
4.214e-01 1.479e-07
1.139e+00 2.677e-07
2.037e+00 4.114e-07
2.754e+00 5.549e-07
3.651e+00 7.224e-07
4.548e+00 8.661e-07
5.263e+00 1.057e-06
5.978e+00 1.225e-06
6.875e+00 1.392e-06
7.770e+00 1.583e-06
8.484e+00 1.775e-06
9.378e+00 1.990e-06
1.027e+01 2.157e-06
1.099e+01 2.348e-06
1.188e+01 2.587e-06
1.278e+01 2.802e-06
1.349e+01 3.041e-06
1.420e+01 3.256e-06
1.509e+01 3.471e-06
1.580e+01 3.710e-06
1.670e+01 3.949e-06
1.741e+01 4.164e-06
1.830e+01 4.379e-06
1.920e+01 4.642e-06
1.991e+01 4.881e-06
2.026e+01 5.024e-06
