gate-drain capacitance vs gate bias
42 2 2
gate bias
gate-drain capacitance
0 0.560319
0.25 0.560323
0.5 0.560329
1 0.560357
1.5 0.56044
2 0.560694
2.5 0.561395
3 0.563084
3.5 0.567753
4 0.587017
4.5 0.62286
5 0.696809
5.5 0.814933
6 0.979173
6.5 1.22705
7 1.54943
7.5 1.89216
8 2.19259
8.5 2.42552
9 2.59644
9.5 2.71944
10 2.80771
10.5 2.87147
11 2.91808
11.5 2.95268
12 2.97878
12.5 2.99878
13 3.01435
13.5 3.02667
14 3.03655
14.5 3.0446
15 3.05124
15.5 3.05679
16 3.06147
16.5 3.06546
17 3.0689
17.5 3.07188
18 3.07448
18.5 3.07676
19 3.07878
19.5 3.08057
20 3.08218
