drain current vs gate bias
32 2 2
gate bias
drain current
0 4.04765e-44
0.5 1.54366e-44
1 1.16485e-44
1.5 1.01967e-44
1.75 1.50319e-24
2 5.3565e-21
2.5 4.37213e-16
3 2.4881e-13
3.5 8.59086e-12
4 1.80904e-10
4.5 1.04153e-09
5 4.26786e-09
5.5 1.52331e-08
6 3.69861e-08
6.5 6.9659e-08
7 1.14431e-07
7.5 1.74463e-07
8 2.54715e-07
8.5 3.59411e-07
9 4.9134e-07
9.5 6.52754e-07
10 8.46247e-07
10.5 1.07515e-06
11 1.3434e-06
11.5 1.65498e-06
12 2.01294e-06
12.5 2.41877e-06
13 2.87235e-06
13.5 3.37238e-06
14 3.91691e-06
14.5 4.50357e-06
15 5.12949e-06
