drain current vs gate bias
149 2 2
gate bias
drain current
-17 -4.03097e-17
-16.75 3.82676e-17
-16.5 1.30376e-17
-16.25 3.01242e-17
-16 -1.29469e-16
-15.75 1.22175e-17
-15.5 1.78819e-17
-15.25 1.80305e-17
-15 -2.79759e-17
-14.75 6.50434e-16
-14.5 2.04724e-14
-14.25 5.4262e-13
-14 1.04498e-11
-13.75 1.42349e-10
-13.5 1.1304e-09
-13.25 4.3137e-09
-13 9.8129e-09
-12.75 1.70733e-08
-12.5 2.56256e-08
-12.25 3.51256e-08
-12 4.53238e-08
-11.75 5.6042e-08
-11.5 6.71542e-08
-11.25 7.85715e-08
-11 9.02306e-08
-10.75 1.02087e-07
-10.5 1.14106e-07
-10.25 1.26264e-07
-10 1.38541e-07
-9.75 1.50923e-07
-9.5 1.63397e-07
-9.25 1.75955e-07
-9 1.88588e-07
-8.75 2.01291e-07
-8.5 2.14059e-07
-8.25 2.26887e-07
-8 2.39771e-07
-7.75 2.52709e-07
-7.5 2.65698e-07
-7.25 2.78734e-07
-7 2.91816e-07
-6.75 3.04945e-07
-6.5 3.18118e-07
-6.25 3.31333e-07
-6 3.4459e-07
-5.75 3.57887e-07
-5.5 3.71226e-07
-5.25 3.84604e-07
-5 3.98023e-07
-4.75 4.11481e-07
-4.5 4.24979e-07
-4.25 4.38516e-07
-4 4.52094e-07
-3.75 4.65711e-07
-3.5 4.7937e-07
-3.25 4.9307e-07
-3 5.06813e-07
-2.75 5.20599e-07
-2.5 5.34431e-07
-2.25 5.48309e-07
-2 5.62235e-07
-1.75 5.76212e-07
-1.5 5.90244e-07
-1.25 6.04332e-07
-1 6.18481e-07
-0.75 6.32694e-07
-0.5 6.46975e-07
-0.25 6.61329e-07
1.34798e-14 6.7576e-07
0.25 6.90271e-07
0.5 7.04866e-07
0.75 7.19548e-07
1 7.34319e-07
1.25 7.49182e-07
1.5 7.64139e-07
1.75 7.79191e-07
2 7.94339e-07
2.25 8.09585e-07
2.5 8.24928e-07
2.75 8.4037e-07
3 8.5591e-07
3.25 8.71548e-07
3.5 8.87284e-07
3.75 9.03118e-07
4 9.19049e-07
4.25 9.35075e-07
4.5 9.51196e-07
4.75 9.67409e-07
5 9.83714e-07
5.25 1.00011e-06
5.5 1.01659e-06
5.75 1.03316e-06
6 1.0498e-06
6.25 1.06653e-06
6.5 1.08334e-06
6.75 1.10023e-06
7 1.11719e-06
7.25 1.13422e-06
7.5 1.15132e-06
7.75 1.16849e-06
8 1.18572e-06
8.25 1.20302e-06
8.5 1.22037e-06
8.75 1.23779e-06
9 1.25526e-06
9.25 1.27279e-06
9.5 1.29037e-06
9.75 1.30799e-06
10 1.32567e-06
10.25 1.34339e-06
10.5 1.36116e-06
10.75 1.37897e-06
11 1.39682e-06
11.25 1.41471e-06
11.5 1.43264e-06
11.75 1.45061e-06
12 1.4686e-06
12.25 1.48664e-06
12.5 1.5047e-06
12.75 1.52279e-06
13 1.54091e-06
13.25 1.55906e-06
13.5 1.57724e-06
13.75 1.59544e-06
14 1.61366e-06
14.25 1.63191e-06
14.5 1.65018e-06
14.75 1.66847e-06
15 1.68679e-06
15.25 1.70512e-06
15.5 1.72347e-06
15.75 1.74183e-06
16 1.76022e-06
16.25 1.77862e-06
16.5 1.79704e-06
16.75 1.81547e-06
17 1.83392e-06
17.25 1.85238e-06
17.5 1.87085e-06
17.75 1.88933e-06
18 1.90783e-06
18.25 1.92634e-06
18.5 1.94486e-06
18.75 1.9634e-06
19 1.98194e-06
19.25 2.00049e-06
19.5 2.01905e-06
19.75 2.03762e-06
20 2.0562e-06
