drain current vs gate bias
89 2 2
gate bias
drain current
-2 -1.33054e-16
-1.75 5.65147e-18
-1.5 3.50007e-17
-1.25 -2.52499e-17
-1 -3.23631e-18
-0.75 1.64205e-18
-0.5 9.79614e-18
-0.25 -7.00581e-17
3.39826e-16 -1.62599e-17
0.25 7.73099e-17
0.5 2.86244e-17
0.75 1.57174e-17
1 2.14942e-16
1.25 4.38685e-15
1.5 7.81235e-14
1.75 1.07714e-12
2 1.19248e-11
2.25 1.04883e-10
2.5 6.63887e-10
2.75 2.58492e-09
3 6.34823e-09
3.25 1.16442e-08
3.5 1.80858e-08
3.75 2.54128e-08
4 3.34497e-08
4.25 4.2072e-08
4.5 5.1187e-08
4.75 6.07232e-08
5 7.06242e-08
5.25 8.08449e-08
5.5 9.13488e-08
5.75 1.02107e-07
6 1.13093e-07
6.25 1.24289e-07
6.5 1.35675e-07
6.75 1.47237e-07
7 1.58961e-07
7.25 1.70835e-07
7.5 1.82849e-07
7.75 1.94993e-07
8 2.07258e-07
8.25 2.19637e-07
8.5 2.32122e-07
8.75 2.44707e-07
9 2.57386e-07
9.25 2.70154e-07
9.5 2.83004e-07
9.75 2.95933e-07
10 3.08936e-07
10.25 3.22009e-07
10.5 3.35147e-07
10.75 3.48348e-07
11 3.61608e-07
11.25 3.74924e-07
11.5 3.88292e-07
11.75 4.0171e-07
12 4.15176e-07
12.25 4.28686e-07
12.5 4.42238e-07
12.75 4.55831e-07
13 4.69461e-07
13.25 4.83128e-07
13.5 4.96829e-07
13.75 5.10562e-07
14 5.24326e-07
14.25 5.38119e-07
14.5 5.5194e-07
14.75 5.65788e-07
15 5.7966e-07
15.25 5.93556e-07
15.5 6.07475e-07
15.75 6.21415e-07
16 6.35376e-07
16.25 6.49356e-07
16.5 6.63355e-07
16.75 6.77372e-07
17 6.91406e-07
17.25 7.05455e-07
17.5 7.1952e-07
17.75 7.336e-07
18 7.47693e-07
18.25 7.61801e-07
18.5 7.7592e-07
18.75 7.90052e-07
19 8.04196e-07
19.25 8.18351e-07
19.5 8.32517e-07
19.75 8.46693e-07
20 8.60878e-07
