drain current vs gate bias
101 2 2
gate bias
drain current
-5 2.28049e-17
-4.75 -5.69803e-18
-4.5 2.60526e-17
-4.25 5.2134e-17
-4 -3.99015e-17
-3.75 -1.10068e-16
-3.5 -1.70784e-17
-3.25 -2.84859e-17
-3 -6.43223e-17
-2.75 -2.28208e-17
-2.5 8.3046e-17
-2.25 -7.08813e-17
-2 2.93309e-17
-1.75 4.31473e-17
-1.5 4.80152e-17
-1.25 3.90808e-17
-1 4.48406e-17
-0.75 -1.16213e-17
-0.5 3.98444e-17
-0.25 2.03692e-15
-1.13275e-16 3.91245e-14
0.25 5.75858e-13
0.5 6.72054e-12
0.75 6.24687e-11
1 4.33498e-10
1.25 1.9279e-09
1.5 5.275e-09
1.75 1.0308e-08
2 1.65864e-08
2.25 2.37956e-08
2.5 3.17383e-08
2.75 4.02898e-08
3 4.93652e-08
3.25 5.89025e-08
3.5 6.88532e-08
3.75 7.91772e-08
4 8.98399e-08
4.25 1.00811e-07
4.5 1.12064e-07
4.75 1.23576e-07
5 1.35327e-07
5.25 1.47297e-07
5.5 1.59473e-07
5.75 1.71841e-07
6 1.84387e-07
6.25 1.97101e-07
6.5 2.09973e-07
6.75 2.22993e-07
7 2.36152e-07
7.25 2.49443e-07
7.5 2.62857e-07
7.75 2.76389e-07
8 2.9003e-07
8.25 3.03776e-07
8.5 3.17621e-07
8.75 3.31559e-07
9 3.45585e-07
9.25 3.59696e-07
9.5 3.73886e-07
9.75 3.88151e-07
10 4.02487e-07
10.25 4.16892e-07
10.5 4.3136e-07
10.75 4.4589e-07
11 4.60477e-07
11.25 4.75119e-07
11.5 4.89814e-07
11.75 5.04557e-07
12 5.19348e-07
12.25 5.34183e-07
12.5 5.49061e-07
12.75 5.63978e-07
13 5.78934e-07
13.25 5.93926e-07
13.5 6.08953e-07
13.75 6.24012e-07
14 6.39102e-07
14.25 6.54222e-07
14.5 6.6937e-07
14.75 6.84544e-07
15 6.99744e-07
15.25 7.14969e-07
15.5 7.30216e-07
15.75 7.45485e-07
16 7.60776e-07
16.25 7.76086e-07
16.5 7.91415e-07
16.75 8.06763e-07
17 8.22127e-07
17.25 8.37509e-07
17.5 8.52906e-07
17.75 8.68318e-07
18 8.83745e-07
18.25 8.99185e-07
18.5 9.14639e-07
18.75 9.30105e-07
19 9.45583e-07
19.25 9.61073e-07
19.5 9.76574e-07
19.75 9.92085e-07
20 1.00761e-06
