drain current vs gate bias
101 2 2
gate bias
drain current
20 9.70563e-07
19.75 9.55062e-07
19.5 9.39573e-07
19.25 9.24095e-07
19 9.08628e-07
18.75 8.93174e-07
18.5 8.77732e-07
18.25 8.62304e-07
18 8.46889e-07
17.75 8.3149e-07
17.5 8.16105e-07
17.25 8.00737e-07
17 7.85385e-07
16.75 7.70051e-07
16.5 7.54736e-07
16.25 7.39439e-07
16 7.24163e-07
15.75 7.08909e-07
15.5 6.93676e-07
15.25 6.78467e-07
15 6.63283e-07
14.75 6.48125e-07
14.5 6.32994e-07
14.25 6.17892e-07
14 6.0282e-07
13.75 5.8778e-07
13.5 5.72773e-07
13.25 5.57801e-07
13 5.42867e-07
12.75 5.27972e-07
12.5 5.13118e-07
12.25 4.98308e-07
12 4.83543e-07
11.75 4.68827e-07
11.5 4.54162e-07
11.25 4.39551e-07
11 4.24997e-07
10.75 4.10503e-07
10.5 3.96072e-07
10.25 3.81708e-07
10 3.67414e-07
9.75 3.53196e-07
9.5 3.39056e-07
9.25 3.25e-07
9 3.11031e-07
8.75 2.97156e-07
8.5 2.8338e-07
8.25 2.69709e-07
8 2.56149e-07
7.75 2.42706e-07
7.5 2.29389e-07
7.25 2.16205e-07
7 2.03163e-07
6.75 1.90272e-07
6.5 1.77542e-07
6.25 1.64986e-07
6 1.52615e-07
5.75 1.40442e-07
5.5 1.28484e-07
5.25 1.16758e-07
5 1.05283e-07
4.75 9.40834e-08
4.5 8.31856e-08
4.25 7.26208e-08
4 6.24249e-08
3.75 5.26395e-08
3.5 4.33138e-08
3.25 3.45081e-08
3 2.63015e-08
2.75 1.88037e-08
2.5 1.21817e-08
2.25 6.70344e-09
2 2.77599e-09
1.75 7.34021e-10
1.5 1.19916e-10
1.25 1.40199e-11
1 1.29374e-12
0.75 9.5292e-14
0.5 5.4535e-15
0.25 3.00993e-16
4.64429e-15 -8.79564e-18
-0.25 6.68341e-18
-0.5 -2.77053e-17
-0.75 -8.95839e-17
-1 7.48806e-17
-1.25 -4.80426e-17
-1.5 3.25993e-17
-1.75 -3.34056e-17
-2 7.49277e-17
-2.25 -9.77046e-17
-2.5 -4.2336e-17
-2.75 6.27095e-17
-3 -1.46659e-17
-3.25 -8.30471e-17
-3.5 -6.35113e-17
-3.75 8.34203e-19
-4 1.10748e-16
-4.25 -4.85462e-18
-4.5 -5.78326e-17
-4.75 1.46378e-17
-5 3.42053e-17
