drain current vs gate bias
149 2 2
gate bias
drain current
20 2.03665e-06
19.75 2.01808e-06
19.5 1.99951e-06
19.25 1.98096e-06
19 1.96242e-06
18.75 1.94389e-06
18.5 1.92536e-06
18.25 1.90685e-06
18 1.88835e-06
17.75 1.86987e-06
17.5 1.85139e-06
17.25 1.83293e-06
17 1.81448e-06
16.75 1.79605e-06
16.5 1.77763e-06
16.25 1.75923e-06
16 1.74084e-06
15.75 1.72247e-06
15.5 1.70412e-06
15.25 1.68579e-06
15 1.66747e-06
14.75 1.64918e-06
14.5 1.63091e-06
14.25 1.61266e-06
14 1.59443e-06
13.75 1.57622e-06
13.5 1.55804e-06
13.25 1.53989e-06
13 1.52177e-06
12.75 1.50367e-06
12.5 1.4856e-06
12.25 1.46757e-06
12 1.44956e-06
11.75 1.43159e-06
11.5 1.41366e-06
11.25 1.39577e-06
11 1.37791e-06
10.75 1.36009e-06
10.5 1.34232e-06
10.25 1.32459e-06
10 1.3069e-06
9.75 1.28927e-06
9.5 1.27168e-06
9.25 1.25415e-06
9 1.23667e-06
8.75 1.21924e-06
8.5 1.20188e-06
8.25 1.18457e-06
8 1.16733e-06
7.75 1.15015e-06
7.5 1.13304e-06
7.25 1.116e-06
7 1.09903e-06
6.75 1.08213e-06
6.5 1.06531e-06
6.25 1.04857e-06
6 1.0319e-06
5.75 1.01533e-06
5.5 9.98831e-07
5.25 9.82423e-07
5 9.66104e-07
4.75 9.49877e-07
4.5 9.33741e-07
4.25 9.177e-07
4 9.01754e-07
3.75 8.85905e-07
3.5 8.70153e-07
3.25 8.54499e-07
3 8.38943e-07
2.75 8.23486e-07
2.5 8.08127e-07
2.25 7.92866e-07
2 7.77702e-07
1.75 7.62635e-07
1.5 7.47663e-07
1.25 7.32785e-07
1 7.17999e-07
0.75 7.03303e-07
0.5 6.88695e-07
0.25 6.74171e-07
4.64429e-15 6.59728e-07
-0.25 6.45362e-07
-0.5 6.31069e-07
-0.75 6.16846e-07
-1 6.02687e-07
-1.25 5.8859e-07
-1.5 5.74551e-07
-1.75 5.60566e-07
-2 5.46633e-07
-2.25 5.32749e-07
-2.5 5.18911e-07
-2.75 5.0512e-07
-3 4.91372e-07
-3.25 4.77667e-07
-3.5 4.64004e-07
-3.75 4.50382e-07
-4 4.36801e-07
-4.25 4.2326e-07
-4.5 4.09759e-07
-4.75 3.96298e-07
-5 3.82878e-07
-5.25 3.69497e-07
-5.5 3.56157e-07
-5.75 3.42858e-07
-6 3.29601e-07
-6.25 3.16386e-07
-6.5 3.03213e-07
-6.75 2.90085e-07
-7 2.77004e-07
-7.25 2.6397e-07
-7.5 2.50984e-07
-7.75 2.38048e-07
-8 2.25168e-07
-8.25 2.12344e-07
-8.5 1.99581e-07
-8.75 1.86885e-07
-9 1.74258e-07
-9.25 1.61709e-07
-9.5 1.49245e-07
-9.75 1.36874e-07
-10 1.24611e-07
-10.25 1.12469e-07
-10.5 1.00469e-07
-10.75 8.86362e-08
-11 7.70066e-08
-11.25 6.56271e-08
-11.5 5.45644e-08
-11.75 4.39124e-08
-12 3.38039e-08
-12.25 2.44262e-08
-12.5 1.60397e-08
-12.75 8.99968e-09
-13 3.78344e-09
-13.25 9.16416e-10
-13.5 1.07162e-10
-13.75 7.5589e-12
-14 3.80704e-13
-14.25 1.39301e-14
-14.5 3.3396e-16
-14.75 5.70396e-18
-15 -4.22482e-17
-15.25 4.88577e-17
-15.5 3.82752e-17
-15.75 4.55922e-17
-16 -7.33257e-18
-16.25 1.05947e-17
-16.5 2.15995e-17
-16.75 2.15838e-17
-17 -3.78705e-17
