drain current vs gate bias
89 2 2
gate bias
drain current
20 6.7788e-07
19.75 6.63814e-07
19.5 6.49763e-07
19.25 6.35726e-07
19 6.21704e-07
18.75 6.07699e-07
18.5 5.93711e-07
18.25 5.79741e-07
18 5.65789e-07
17.75 5.51858e-07
17.5 5.37947e-07
17.25 5.24058e-07
17 5.10192e-07
16.75 4.9635e-07
16.5 4.82534e-07
16.25 4.68745e-07
16 4.54985e-07
15.75 4.41255e-07
15.5 4.27557e-07
15.25 4.13893e-07
15 4.00265e-07
14.75 3.86675e-07
14.5 3.73125e-07
14.25 3.59618e-07
14 3.46156e-07
13.75 3.32742e-07
13.5 3.19379e-07
13.25 3.06071e-07
13 2.9282e-07
12.75 2.79632e-07
12.5 2.6651e-07
12.25 2.53458e-07
12 2.40481e-07
11.75 2.27585e-07
11.5 2.14776e-07
11.25 2.0206e-07
11 1.89445e-07
10.75 1.76937e-07
10.5 1.64547e-07
10.25 1.52285e-07
10 1.40161e-07
9.75 1.2819e-07
9.5 1.16387e-07
9.25 1.04769e-07
9 9.3359e-08
8.75 8.21828e-08
8.5 7.12727e-08
8.25 6.06693e-08
8 5.04255e-08
7.75 4.06119e-08
7.5 3.13263e-08
7.25 2.27099e-08
7 1.49747e-08
6.75 8.44741e-09
6.5 3.61558e-09
6.25 9.65605e-10
6 1.47299e-10
5.75 1.53237e-11
5.5 1.25147e-12
5.25 8.20909e-14
5 4.14426e-15
4.75 1.52299e-16
4.5 3.29017e-17
4.25 1.63972e-17
4 3.25824e-17
3.75 4.90247e-18
3.5 -2.40966e-18
3.25 -1.9529e-17
3 2.7668e-17
2.75 1.46581e-17
2.5 -4.31644e-17
2.25 3.50406e-17
2 -7.00395e-17
1.75 5.12925e-17
1.5 4.55916e-17
1.25 9.76656e-18
1 1.46473e-17
0.75 3.91105e-17
0.5 -6.10868e-17
0.25 5.29452e-17
4.64429e-15 -3.09426e-17
-0.25 4.88464e-17
-0.5 -1.62787e-17
-0.75 -6.27274e-17
-1 -2.03628e-17
-1.25 1.14206e-17
-1.5 -1.62756e-18
-1.75 -3.90934e-17
-2 6.92273e-17
